matchID,matchDuration,win,champID,champName,position,lane,role,side,dragons,heralds,barons,towers,kills,deaths,assists,vision,gold,level,minions,objDamage,turretDamage,champDamage,takenDamage,oppGold,oppLevel,oppMinions,gold@10,level@10,minions@10,oppGold@10,oppLevel@10,oppMinions@10
KR_4952966096,1287167,False,37749311,Tristana,BOTTOM,BOTTOM,CARRY,Red,0,0,0,1,7,6,7,9,9983,11,138,4170,3202,13905,12468,7097,11,124,4276,7,80,3322,6,65
KR_6055846453,1753,True,15,Sivir,BOTTOM,BOTTOM,CARRY,Red,3,1,1,10,5,7,12,12,10206,15,140,8789,4607,14936,25159,13802,15,226,2986,6,42,5294,7,83
KR_5462126860,1518157,True,121,Khazix,JUNGLE,JUNGLE,NONE,Red,3,2,0,7,8,3,8,19,12777,15,43,43982,3986,20302,21502,7089,12,14,4723,8,71,3378,7,50
KR_6044349184,2185,False,37,Sona,UTILITY,BOTTOM,SUPPORT,Red,2,1,1,7,2,7,11,65,9035,13,10,3200,1953,12714,28732,10815,16,70,2597,6,1,2740,7,6
KR_5924423981,1123,False,43,Karma,UTILITY,NONE,SUPPORT,Red,0,0,0,0,1,1,2,8,4759,8,26,0,0,1782,2859,5953,9,16,2130,5,17,3323,6,4
KR_5889697189,1696,False,53,Blitzcrank,UTILITY,BOTTOM,SUPPORT,Blue,0,0,0,0,1,2,8,36,6330,12,39,2388,65,5531,13086,9745,14,19,2380,6,10,3373,6,3
KR_6078500157,1117,False,78,Poppy,JUNGLE,NONE,SUPPORT,Red,0,1,0,1,3,3,5,14,7107,10,16,10666,477,5917,13746,10273,13,28,4143,7,58,5147,8,83
KR_5811814889,778,True,517,Sylas,TOP,NONE,SUPPORT,Blue,1,1,0,8,3,1,3,7,5337,9,74,3107,3107,7572,8475,3332,7,7,4677,9,69,3092,7,63
KR_6076365777,1044,True,122,Darius,TOP,NONE,SUPPORT,Blue,1,1,0,5,2,1,1,12,7419,12,130,6926,4340,10436,9062,4998,10,114,3437,8,78,3452,9,79
KR_6066325600,1551,True,4,TwistedFate,MIDDLE,MIDDLE,SOLO,Red,2,2,0,10,15,1,15,18,15485,15,157,13021,9049,28150,21952,8437,13,163,5573,9,61,3490,8,66
KR_5707020062,1355,False,412,Thresh,UTILITY,BOTTOM,SUPPORT,Blue,2,0,0,1,0,4,9,41,5309,10,31,1676,182,4448,9647,5625,11,41,2268,6,19,2517,6,19
KR_5842553884,1789,False,26,Zilean,MIDDLE,MIDDLE,SOLO,Red,0,0,0,3,2,6,10,20,8622,14,132,545,545,10741,22310,10580,15,158,2843,7,52,3047,8,69
KR_5268612930,1439712,False,120,Hecarim,TOP,TOP,SOLO,Blue,0,0,0,1,1,8,1,14,5944,10,82,1231,1231,6963,17491,12091,13,115,2857,7,57,5441,9,63
KR_5776946035,1448,False,223,TahmKench,TOP,TOP,SOLO,Blue,0,1,0,1,5,7,4,7,8758,13,120,5589,4096,20085,27340,9489,14,103,3877,9,60,3545,8,56
