matchID,matchDuration,win,champID,champName,position,lane,role,side,dragons,heralds,barons,towers,kills,deaths,assists,vision,gold,level,minions,objDamage,turretDamage,champDamage,takenDamage,oppGold,oppLevel,oppMinions,gold@10,level@10,minions@10,oppGold@10,oppLevel@10,oppMinions@10
EUW1_5617243954,1845,True,19,Warwick,JUNGLE,JUNGLE,NONE,Red,5,1,1,11,8,8,14,28,12422,16,27,33496,1285,15460,41039,10840,15,40,4436,7,56,3855,7,55
EUW1_6023684975,2475,False,74,Heimerdinger,MIDDLE,MIDDLE,SOLO,Blue,2,1,1,7,10,4,14,26,16017,18,229,18525,1700,60118,22430,13275,17,199,3563,9,83,3290,8,69
EUW1_5348271246,1991894,True,29,Twitch,BOTTOM,BOTTOM,CARRY,Red,1,0,1,9,3,7,14,26,11348,14,150,10329,3513,14597,19759,13794,15,203,3481,7,62,4334,7,89
EUW1_6015638632,2097,False,234,Viego,JUNGLE,JUNGLE,NONE,Red,3,0,0,4,19,5,9,29,16925,16,40,31520,203,35120,41974,14241,16,46,4151,7,49,3387,7,48
EUW1_5066050038,1212836,True,37225015,Camille,TOP,TOP,DUO,Blue,2,1,0,6,11,2,9,7,8500,12,67,5885,2001,16341,13728,7702,11,119,3506,8,45,4642,9,81
EUW1_5860572789,2519,True,84,Akali,MIDDLE,MIDDLE,SOLO,Red,5,1,1,10,14,5,9,25,15054,18,119,13045,798,36726,43097,16090,18,241,3596,8,54,3490,8,60
EUW1_5862044812,1726,False,77,Udyr,JUNGLE,JUNGLE,NONE,Blue,3,2,0,4,5,8,6,19,11422,14,23,33958,1605,13423,31950,10801,15,27,4018,7,59,3036,7,53
EUW1_5446491371,2122963,True,517,Sylas,TOP,TOP,SOLO,Red,1,1,1,7,7,7,2,24,12632,17,197,8643,4250,22144,37693,13572,17,226,3469,9,70,3961,9,77
EUW1_6018817696,1417,True,555,Pyke,UTILITY,BOTTOM,SOLO,Red,1,1,0,9,7,5,13,36,8941,11,34,2251,2251,10079,17624,5944,10,17,4614,6,17,2650,5,11
EUW1_5977769453,1753,True,110,Varus,TOP,TOP,SOLO,Red,3,0,0,9,11,8,5,20,15998,15,170,15343,13885,32005,20058,13154,16,111,5962,9,78,3780,7,38
EUW1_6034945385,913,False,29,Twitch,BOTTOM,NONE,SUPPORT,Red,0,1,0,0,5,6,2,5,5685,9,74,0,0,4962,11463,9337,10,113,4637,7,52,6663,8,78
EUW1_5960034245,970,False,1,Annie,MIDDLE,NONE,SUPPORT,Blue,0,0,0,0,5,7,0,5,6394,9,48,0,0,6080,14416,10681,12,116,4487,8,38,6973,10,87
EUW1_5620397008,1774,True,126,Jayce,TOP,TOP,CARRY,Red,4,1,1,10,9,10,7,28,15593,16,179,10191,6338,30376,23531,15332,17,226,5127,9,73,3709,8,78
EUW1_5962943799,1441,True,24,Jax,TOP,TOP,SOLO,Red,2,2,0,10,3,4,5,8,7774,12,99,3756,3756,11202,15141,9456,13,108,3283,8,53,3637,8,55
EUW1_5223740667,1775616,False,36,DrMundo,JUNGLE,JUNGLE,NONE,Red,1,0,0,3,4,5,5,15,10480,15,64,7561,69,7485,37563,9827,15,39,4163,8,85,3167,7,61
EUW1_5862254325,2050,True,18,Tristana,BOTTOM,BOTTOM,CARRY,Blue,2,2,2,9,5,10,4,38,12598,16,144,16057,3378,13873,28250,14690,16,174,2985,6,42,4652,8,83
EUW1_5218931170,1248751,False,201,Braum,UTILITY,BOTTOM,SOLO,Red,0,0,0,2,0,5,3,27,4416,9,30,1740,0,3385,13551,8774,11,24,2437,7,22,4240,6,10
EUW1_5941055534,1543,False,41,Gangplank,TOP,TOP,SOLO,Blue,0,0,0,0,1,7,4,18,8119,13,164,813,0,4574,20426,7266,12,19,3340,8,59,2932,6,12
EUW1_5846847221,1993,False,21,MissFortune,BOTTOM,BOTTOM,CARRY,Blue,1,1,0,8,13,9,9,21,15540,16,162,16650,3858,30058,25711,15769,16,195,5154,7,62,3774,7,66
EUW1_5144102166,1242375,False,89,Leona,UTILITY,BOTTOM,SUPPORT,Red,1,0,0,0,1,2,5,25,4945,10,31,0,0,3810,8605,6111,11,60,2774,6,16,2927,7,30
EUW1_5901606521,2227,True,517,Sylas,MIDDLE,MIDDLE,SOLO,Red,4,2,2,9,10,12,15,22,13452,16,119,5648,2247,26122,51543,15541,17,235,3185,8,39,3957,9,80
EUW1_5674734176,1335,True,48,Trundle,TOP,TOP,SOLO,Red,3,2,0,9,3,4,11,11,8996,13,119,13775,13499,7331,25870,7737,12,118,3962,9,65,3449,8,63
EUW1_5851999928,2579,False,103,Ahri,MIDDLE,MIDDLE,SOLO,Red,3,0,1,8,11,7,10,28,17145,18,214,8220,3715,34719,29075,20491,18,279,3519,9,82,3905,9,98
EUW1_5658481562,1870,True,7,Leblanc,MIDDLE,TOP,SOLO,Blue,2,2,1,8,7,2,10,14,11247,15,170,4253,2399,19798,18042,8728,14,148,3565,9,98,3644,9,68
EUW1_5275769789,1730658,False,89,Leona,UTILITY,BOTTOM,SUPPORT,Red,1,0,0,3,0,6,8,37,6340,12,30,710,274,6078,14469,8549,13,31,2328,7,14,2141,6,7
EUW1_6035675394,2253,False,50,Swain,TOP,TOP,SOLO,Blue,0,0,0,5,3,13,13,9,11233,16,159,806,329,20367,40717,19825,18,223,2923,8,63,4405,8,80
EUW1_5921546304,1479,False,106,Volibear,JUNGLE,JUNGLE,NONE,Blue,1,1,0,2,1,6,7,12,7567,11,19,13687,0,13183,27021,13234,15,44,4041,8,70,4845,8,69
EUW1_5042249741,1656111,True,37356089,Yone,JUNGLE,MIDDLE,SOLO,Blue,2,1,1,10,15,4,11,10,13865,15,134,10051,3056,31198,25926,7062,12,78,3493,8,43,2421,7,42
EUW1_5076910176,1932732,False,37421626,Tristana,BOTTOM,BOTTOM,CARRY,Blue,2,0,0,6,11,6,4,32,15158,15,212,14103,8936,20726,20327,11632,15,135,4211,7,81,2968,6,46
EUW1_5337879385,1229186,False,102,Shyvana,JUNGLE,JUNGLE,NONE,Blue,0,1,0,1,3,4,2,14,7083,11,25,9329,0,7411,18630,8554,12,16,2801,6,47,3671,7,55
EUW1_6025814830,1414,False,22,Ashe,UTILITY,BOTTOM,SUPPORT,Red,0,0,0,0,0,9,8,48,5739,10,15,877,505,11492,16206,8930,13,46,2783,6,6,2824,6,13
EUW1_5728497497,1387,True,711,Vex,MIDDLE,MIDDLE,SOLO,Red,2,1,0,11,10,2,10,27,11485,13,145,9622,6833,16837,8151,7985,12,143,4176,8,72,4084,8,67
